datetime,prcp,temp_mean,temp_min,temp_max,temp_avg,rel_hum,vap_press,sun_dur,wind_speed
1957-01-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-03,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-04,NA,NA,NA,NA,NA,NA,NA,5.00,NA
1957-01-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-06,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-07,NA,NA,NA,NA,NA,NA,NA,6.30,NA
1957-01-08,NA,NA,NA,NA,NA,NA,NA,1.30,NA
1957-01-09,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1957-01-10,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-11,NA,NA,NA,NA,NA,NA,NA,6.00,NA
1957-01-12,NA,NA,NA,NA,NA,NA,NA,5.40,NA
1957-01-13,NA,NA,NA,NA,NA,NA,NA,3.20,NA
1957-01-14,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1957-01-15,NA,NA,NA,NA,NA,NA,NA,0.10,NA
1957-01-16,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-17,NA,NA,NA,NA,NA,NA,NA,2.70,NA
1957-01-18,NA,NA,NA,NA,NA,NA,NA,3.20,NA
1957-01-19,NA,NA,NA,NA,NA,NA,NA,0.30,NA
1957-01-20,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-21,NA,NA,NA,NA,NA,NA,NA,3.60,NA
1957-01-22,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-23,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-24,NA,NA,NA,NA,NA,NA,NA,1.30,NA
1957-01-25,NA,NA,NA,NA,NA,NA,NA,4.90,NA
1957-01-26,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-27,NA,NA,NA,NA,NA,NA,NA,2.60,NA
1957-01-28,NA,NA,NA,NA,NA,NA,NA,4.30,NA
1957-01-29,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-30,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-01-31,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-01,NA,NA,NA,NA,NA,NA,NA,1.00,NA
1957-02-02,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-03,NA,NA,NA,NA,NA,NA,NA,1.90,NA
1957-02-04,NA,NA,NA,NA,NA,NA,NA,0.60,NA
1957-02-05,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-06,NA,NA,NA,NA,NA,NA,NA,7.30,NA
1957-02-07,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-08,NA,NA,NA,NA,NA,NA,NA,2.30,NA
1957-02-09,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1957-02-10,NA,NA,NA,NA,NA,NA,NA,1.70,NA
1957-02-11,NA,NA,NA,NA,NA,NA,NA,4.20,NA
1957-02-12,NA,NA,NA,NA,NA,NA,NA,0.70,NA
1957-02-13,NA,NA,NA,NA,NA,NA,NA,2.90,NA
1957-02-14,NA,NA,NA,NA,NA,NA,NA,4.60,NA
1957-02-15,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-16,NA,NA,NA,NA,NA,NA,NA,8.30,NA
1957-02-17,NA,NA,NA,NA,NA,NA,NA,5.40,NA
1957-02-18,NA,NA,NA,NA,NA,NA,NA,5.10,NA
1957-02-19,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-20,NA,NA,NA,NA,NA,NA,NA,8.10,NA
1957-02-21,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-22,NA,NA,NA,NA,NA,NA,NA,8.80,NA
1957-02-23,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-24,NA,NA,NA,NA,NA,NA,NA,0.00,NA
1957-02-25,NA,NA,NA,NA,NA,NA,NA,7.10,NA
1957-02-26,NA,NA,NA,NA,NA,NA,NA,2.00,NA
1957-02-27,NA,NA,NA,NA,NA,NA,NA,3.60,NA
